ReportID,CandidateID,GroupID,Report Name,Election Cycle,Filing Due Date,Filed Date,Amended,Superseded
47280,6377,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,T
47281,,2340,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47282,6225,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47283,6402,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47284,5330,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47285,3639,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47286,6050,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47287,3639,,"CE Report 3","2014",10/14/2014,"06/06/2014",F,F
47288,1210,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47289,6554,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47290,3639,,"CE Report 4","2014",10/31/2014,"06/06/2014",F,F
47291,,2396,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47292,930,,"2015 Annual CE Filing","2014",1/15/2015,"01/09/2015",F,F
47293,3639,,"CE Report 5","2014",1/15/2015,"06/06/2014",F,F
47294,,2112,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47295,4206,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47296,5961,,"CE Report 1 (Amended)","2014",5/20/2014,"06/06/2014",T,F
47297,,836,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47298,,2218,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47299,5961,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47300,,2395,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47301,268,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,T
47302,,1339,"CE Report 2","2014",6/6/2014,"06/06/2014",F,T
47303,6443,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47304,,1357,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47305,5093,,"CE Report 1 (Amended)","2014",5/20/2014,"06/06/2014",T,F
47306,5878,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47307,6253,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47308,6372,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47309,3473,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47310,,1802,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47311,6371,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47312,,2397,"CE Report 1","2014",5/20/2014,"06/06/2014",F,F
47313,1202,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47314,,2385,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47315,6519,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47316,4678,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47317,,1607,"CE Report 2","2014",6/6/2014,"06/06/2014",F,T
47318,268,,"CE Report 2 (Amended)","2014",6/6/2014,"06/06/2014",T,F
47319,6283,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
47320,5468,,"CE Report 2","2014",6/6/2014,"06/06/2014",F,F
